full_formula,task_id,formation_energy_per_atom
Na4Tm4Ge4O16,mp-18629,-2.9158658113571425
Na3Mn3Cr3F18,mp-18641,-3.061799380659259
Lu4Mn4O14,mp-19153,-2.9509447048336366
K2Ni1O2,mp-19252,-1.2257273867000003
Ba2Mo2O8,mp-19276,-2.7282853224999997
Na8W2O10,mp-19334,-2.1445149146749998
Tm4Fe4Ge8O28,mp-19483,-2.557678062159091
Nd2Ni4Sn4,mp-20000,-0.5274316754999994
Dy1Co3B2,mp-20193,-0.4942353988888885
P4Pb4Se12,mp-20316,-0.31989290308482127
Yb4Sb4Pd4,mp-20540,-0.9812331824999999
Ni1Rh1F6,mp-20580,-1.9381818946425007
Gd8Sb6,mp-20831,-1.0566840414285719
Tm4In2Pd4,mp-21205,-0.8840731666666664
Yb3In3Pd3,mp-21499,-0.7775000666666673
Ce3Mg3Tl3,mp-21518,-0.20653074777777766
Sm1Zn1,mp-2165,-0.3234858437499999
Ce4Ge12Pd20,mp-21689,-0.6961218555555556
Ge24Ru16,mp-21945,-0.3562312352500001
Gd2V2O8,mp-22024,-3.194929065833333
Gd1Ge2Pd2,mp-22181,-0.8092380579999997
Ba2Pb2O6,mp-22230,-2.1291423362500006
Ga1Ru1,mp-22320,-0.32109695000000116
Ba2Mg1Re1O6,mp-22441,-2.858687270000001
Gd1Al3Pd2,mp-22505,-0.8453593850000006
Ni4Ge2O8,mp-22638,-1.5094390621428582
La1Mn2Ge2,mp-22760,-0.4582569914999993
Ni12P4,mp-2296,-0.4433143930357142
Y2C2I2,mp-23062,-0.8628143329166656
Nd2Cl6,mp-23183,-2.73397926932
I10F50,mp-23257,-1.989500917825
B4Cl4F24,mp-23398,-2.1457821446333334
Rb2I2O8,mp-23450,-1.1829306492241376
As2Se12I2F12,mp-23569,-1.2989726820501788
K1Mg1H3,mp-23737,-0.34095462677199995
Nd4H4S4O20,mp-23831,-2.6456437845540615
Sn1H8N2F6,mp-24113,-1.6809738815211763
Nd2H4Cl2O4,mp-24124,-2.459739842583334
Mg3P4H48N2O30,mp-24303,-1.5762284319493265
Rb4Co2H16C4O20,mp-24624,-1.6635225728108536
Na2Ag6O4,mp-27303,-0.7229455928333332
Ni1Cl2,mp-27396,-0.9699450788400004
Er2S2Cl2,mp-27616,-2.6040283341075003
Ba12Si4S20,mp-27805,-2.0960980375347225
K2Os1Br6,mp-27835,-0.8913164678888887
Hg4Br4O12,mp-27994,-0.4116558167500003
Rb2Pd1Cl6,mp-28145,-1.551127366694406
Pd2Se4Cl12,mp-28175,-0.7714126813052778
Ba6In4F24,mp-28274,-3.5909403565262745
Na8Ge4Se12,mp-28278,-0.7549913416302084
